Date,Close,High,Low,Open,Volume
2014-12-11,10.016600608825684,10.104526747499222,9.81261064176377,9.847780913158282,12215341
2014-12-12,10.181903839111328,10.294450009428889,9.939225900508724,10.023636218527862,15136960
2014-12-15,10.34017276763916,10.375343047648242,10.044739838513593,10.181905127036178,14350217
2014-12-16,10.143217086791992,10.428098811557003,10.111562641443452,10.301484711661443,12075103
2014-12-17,9.963847160339355,10.129149224733363,9.921642456270652,10.129149224733363,11341201
2014-12-18,10.81497573852539,10.959175427310724,10.04122050276299,10.055289348735688,61012395
2014-12-19,10.245209693908691,10.716496669691153,9.949775916192525,10.603950512483783,32134097
2014-12-22,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-23,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-24,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-25,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-26,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-29,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-30,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2014-12-31,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-05,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-06,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-07,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-08,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-09,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-12,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-13,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-14,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
2015-01-15,10.245209693908691,10.245209693908691,10.245209693908691,10.245209693908691,0
